fight_id,event_id,event_name,event_date,fighter_a_id,fighter_a_name,fighter_b_id,fighter_b_name,winner_id,method,round,time,weight_class,is_title_fight,fighter_a_strikes_landed,fighter_a_strikes_attempted,fighter_a_takedowns_landed,fighter_a_takedowns_attempted,fighter_a_knockdowns,fighter_a_control_time,fighter_a_submission_attempts,fighter_a_reversals,fighter_a_head_strikes_landed,fighter_a_head_strikes_attempted,fighter_a_body_strikes_landed,fighter_a_body_strikes_attempted,fighter_a_leg_strikes_landed,fighter_a_leg_strikes_attempted,fighter_b_strikes_landed,fighter_b_strikes_attempted,fighter_b_takedowns_landed,fighter_b_takedowns_attempted,fighter_b_knockdowns,fighter_b_control_time,fighter_b_submission_attempts,fighter_b_reversals,fighter_b_head_strikes_landed,fighter_b_head_strikes_attempted,fighter_b_body_strikes_landed,fighter_b_body_strikes_attempted,fighter_b_leg_strikes_landed,fighter_b_leg_strikes_attempted
22dd728012944f0a,7956f026e2672c47,UFC 321: Aspinall vs. Gane,"October 25, 2025",0be6776db31d98ec,Mitch Raposo,7f1bf0c255ec8756,Azat Maksum,0be6776db31d98ec,DEC U,3,5:00,Flyweight,False,53,92,0,0,0,0:49,0,0,20,50,7,13,3,3,30,101,7,19,0,5:27,0,0,14,80,1,3,4,5
4c0718f12ca664bb,60884f31ead1609c,UFC Fight Night: Machida vs Munoz,"October 26, 2013",c268b2cfebccf652,John Lineker,ba043b03eb799063,Phil Harris,c268b2cfebccf652,KO/TKO,1,2:51,Flyweight,False,34,71,0,0,3,0:04,0,0,18,45,10,20,3,3,14,38,0,0,0,0:00,0,0,13,37,1,1,0,0
e11e290d816c119b,a7724f51e32e763e,UFC Fight Night: Brunson vs. Machida,"October 28, 2017",aa72b0f831d0bfe5,Deiveson Figueiredo,81d9df19e255b8b6,Jarred Brooks,aa72b0f831d0bfe5,DEC S,3,5:00,Flyweight,False,22,52,1,4,0,1:06,5,0,9,31,10,17,0,0,82,112,7,11,0,7:28,0,0,26,46,4,5,0,1
44abbf6b947be6de,be5aab761c40ef35,UFC Fight Night: Kattar vs. Allen,"October 29, 2022",7f6ed67d3ed3c036,Cody Durden,b15862fcd6ded451,Carlos Mota,7f6ed67d3ed3c036,DEC U,3,5:00,Flyweight,False,51,95,4,8,0,12:32,0,0,13,33,3,3,1,1,36,62,0,0,0,0:11,1,1,6,19,5,9,1,1
6163c18411aca830,3974fa35c917af1d,UFC 267: Blachowicz vs. Teixeira,"October 30, 2021",f00ac08ab056af5d,Tagir Ulanbekov,253076a23d03dcd0,Allan Nascimento,f00ac08ab056af5d,DEC S,3,5:00,Flyweight,False,62,87,4,5,0,12:04,1,1,16,37,1,1,1,2,74,86,0,1,0,0:16,2,0,13,24,2,3,10,10
bbcb7b5ca439bebb,b23fca14c7b79935,UFC Fight Night: Teixeira vs Bader,"September 04, 2013",80eacd4da0617c57,Joseph Benavidez,b102c26727306ab6,Jussier Formiga,80eacd4da0617c57,KO/TKO,1,3:07,Flyweight,False,20,52,0,0,1,0:05,0,0,13,40,4,7,3,5,6,18,0,0,0,0:00,0,0,5,15,1,3,0,0
46aa72d0ccd2be0a,b23fca14c7b79935,UFC Fight Night: Teixeira vs Bader,"September 04, 2013",3dd92ff9fb0412b3,Ali Bagautinov,e363b21261814830,Marcos Vinicius,3dd92ff9fb0412b3,KO/TKO,3,3:28,Flyweight,False,46,78,3,5,2,4:08,1,0,29,56,5,7,4,5,45,68,0,0,0,2:40,0,0,12,28,7,8,8,11
839c8cd7b1a32c7c,9bcfb40dbcd50568,UFC Fight Night: Jacare vs Mousasi,"September 05, 2014",92437c6775b3f7d1,John Moraga,9fa568ad2bf2cb0b,Justin Scoggins,92437c6775b3f7d1,SUB,2,0:47,Flyweight,False,13,22,0,0,0,0:00,3,0,2,6,0,2,2,4,34,41,3,3,0,4:31,0,0,6,11,3,3,4,4
4496c2fa6aaccba6,82f5c81f4e3c3eb5,UFC 191: Johnson vs Dodson 2,"September 05, 2015",8a304bfd6bf04a57,Demetrious Johnson,99506df1af6c8b3b,John Dodson,8a304bfd6bf04a57,DEC U,5,5:00,Flyweight,True,163,252,4,13,0,4:59,0,0,57,125,23,36,8,10,108,174,1,3,0,2:55,0,0,16,69,28,36,14,16
69bde5bae0d6ec4f,ee0b69e307c857e5,UFC Fight Night: Burns vs. Brady,"September 07, 2024",b1f21ce050035d58,Andre Lima,5cdf5339728f580d,Felipe dos Santos,b1f21ce050035d58,DEC U,3,5:00,Flyweight,False,43,70,2,2,0,9:00,2,0,5,21,6,7,7,9,69,122,0,8,0,0:41,0,0,14,45,14,19,10,12
