2026-05-04 11:19:40,100 [INFO] Obteniendo lista de todos los eventos...
2026-05-04 11:19:42,351 [INFO] Encontrados 772 eventos
2026-05-04 11:19:42,359 [INFO] Guardados 772 eventos en events.json
2026-05-04 11:22:58,872 [INFO] [53/772] Scrapeando: UFC Fight Night: Cannonier vs. Rodrigues (February 15, 2025)
2026-05-04 11:23:00,458 [INFO] [54/772] Scrapeando: UFC 312: Du Plessis vs. Strickland 2 (February 08, 2025)
2026-05-04 11:23:08,140 [INFO] [55/772] Scrapeando: UFC Fight Night: Adesanya vs. Imavov (February 01, 2025)
2026-05-04 11:23:09,934 [INFO] [56/772] Scrapeando: UFC 311: Makhachev vs. Moicano (January 18, 2025)
2026-05-04 11:23:15,599 [INFO] [57/772] Scrapeando: UFC Fight Night: Dern vs. Ribas 2 (January 11, 2025)
2026-05-04 11:23:19,070 [INFO] [58/772] Scrapeando: UFC Fight Night: Covington vs. Buckley (December 14, 2024)
2026-05-04 11:23:29,398 [INFO] [59/772] Scrapeando: UFC 310: Pantoja vs. Asakura (December 07, 2024)
2026-05-04 11:23:33,112 [INFO] [60/772] Scrapeando: UFC Fight Night: Yan vs. Figueiredo (November 23, 2024)
2026-05-04 11:23:38,863 [INFO] [61/772] Scrapeando: UFC 309: Jones vs. Miocic (November 16, 2024)
2026-05-04 11:23:40,712 [INFO] [62/772] Scrapeando: UFC Fight Night: Magny vs. Prates (November 09, 2024)
2026-05-04 11:23:42,298 [INFO] [63/772] Scrapeando: UFC Fight Night: Moreno vs. Albazi (November 02, 2024)
2026-05-04 11:23:46,364 [INFO] [64/772] Scrapeando: UFC 308: Topuria vs. Holloway (October 26, 2024)
2026-05-04 11:23:51,898 [INFO] [65/772] Scrapeando: UFC Fight Night: Hernandez vs. Pereira (October 19, 2024)
2026-05-04 11:23:53,482 [INFO] [66/772] Scrapeando: UFC Fight Night: Royval vs. Taira (October 12, 2024)
